id,text,klass,humor_rating,humor_mechanism
tweet6980,50 SOMBRAS DE GREY NOMINADA A LA MEJOR MIERDA,joke,1.25,exaggeration
tweet6981,Quizá mis pasos eran arrítmicos para ir al compás de los tuyos.,no-joke,,
tweet6982,"A nadie le gusta mi música ??‍♀️
Just, I DON'T CARE",no-joke,,
tweet6983,Porque sos tan linda hija de tu mami,no-joke,,
tweet6984,Se vende ropa AMERICANA... OK made in china guau,joke,1.25,
tweet6985,Mi amigo me va a llamar 07.30 am para que me levante porque esta de guardía. Todavía quedan personas que me quieren ?,no-joke,,
tweet6986,"""La música te lleva a ese mundo magico donde somos libres de ser y sentir""
#Buenasvibraschorras @BeluParamore",no-joke,,
tweet6987,Lpm tan temprano me iba a levantar??😡,no-joke,,
tweet6988,"—Nivel de inglés.
—Alto
—Haber, ¿Cómo se dice azul en inglés?
—Azuleichon.
—Contrataleichon, no son mentiras Largó de aquí.",joke,2.25,
tweet6989,Había un perro que se llamaba aguayo se cayó y se murió.,joke,1.25,
tweet6990,Mosquitos que practican Formula 1 en tu oreja.,joke,2.0,analogy
tweet6991,"Mi vecina le gritó tan fuerte a su hijo qué, hasta yo fui a ordenarle la casa y a buscar un trabajo.",joke,2.3333,exaggeration
tweet6992,"Jaimito, ¿cual es el pájaro que vuela mas alto? -El de los astronautas maestra!",joke,2.4285714285714284,
tweet6993,"Como me cagan esos pendejos que ponen de perfil una foto con algún monumento, torre Eiffel o cualquier cochinada de Europa. Me dan asco.",no-joke,,
tweet6994,"Estaba pensando en despedirme el día de hoy con un tuit chingón, pero , no se me ocurre nada.

Sinceridad.",no-joke,,
tweet6995,Empezando investigación ahora de JJ Olmedo. ¿Sabían que fue uno de los redactores de la primera constitución de #Perú?,no-joke,,
tweet6996,Lo triste no es ir al cementerio sino quedarse. #MáximasFilosóficas #fb,no-joke,,
tweet6997,Jack no puede ser mas boludo 😑,no-joke,,
tweet6998,"Odio cuando alguien me pide que recuerde algo. Oye mira, tengo memoria de Dory, no recuerdo ni qué desayuné hoy. No puedo ayudarte.",joke,1.3333,analogy
tweet6999,"—Hola, ¿qué haces? —Hago fuego con dos piedras, ¿y tú? —Reviso hotmail desde Internet Explorer. —JAJAJÁ ¡COMO UN MALDITO CAVERNÍCOLA! JAJAJÁ",joke,3.6,
tweet7000,—Hagan grupos de 3  —¿No podemos ser 8 profe?,no-joke,,
tweet7001,"""Hakuna Matata"" es el ""Me vale verga la vida"" de los animales.",joke,1.0,
tweet7002,El primer paso para perdonar es aceptar que la otra persona es pendeja y eso no se le va a quitar.,no-joke,,
tweet7003,Para que algo nuevo llegue algo viejo se tiene que ir.#GretchenCuotes,no-joke,,
tweet7004,En los autobuses siempre hay caballeros; lo que faltan son asientos... #fb,joke,1.8,
tweet7005,"me gusta la gente que tarda en responder, por que yo cuelgo y puedo tardar horas, hasta días ❤",no-joke,,
tweet7006,¿Quien es el papá del Príncipe Azul? ¡Pues el Blue Ray!,joke,1.8333,
tweet7007,"Mi mujer me pide dinero en la mañana, a la hora de comer, en la tarde -Y qué hace con tanta lana? -No sé, nunca se la doy! #fb",joke,2.25,unmasking
tweet7008,Nada como el amor de la familia❤️ hermosa manera de arrancar mis 18 ???,no-joke,,
tweet7009,Que este así toda la noche😍,no-joke,,
tweet7010,"Estoy feliz, uso Twitter
Estoy triste, uso Twitter
Estoy con celos, uso Twitter
No quiero socializar, uso Twitter
Pasa algo, uso Twitter.",joke,1.6667,reference
tweet7011,"Al vocalista de la Banda MS lo balean y sobrevive, una prueba más de que los gatos sí tienen 7 vidas.",joke,1.0,
tweet7012,He visto el primer capítulo de Dirk Gently y no he entendido nada.,no-joke,,
tweet7013,¿Cómo va su día amiguitos? el mío bien sólo me he querido morir dos veces.,joke,1.6666666666999999,exaggeration
tweet7014,"Eres el amor de mi vida. ? ¿Qué? ? Que me pases la bebida, sorda. ? Vale, te quiero. ? ¿Qué? ? Que sí quieres hielo, sordo.",joke,1.0,
tweet7015,Buenas noches les quiero,no-joke,,
tweet7016,Todo el mundo usa spotify y yo uso youtube porque pobre :(,no-joke,,
tweet7017,"Necesito una silla de ruedas, mi mujer está enferma y no tengo fuerza para levantarla hasta la cocina a que me prepare el desayuno.",joke,2.0,
tweet7018,"Soy el Miss Colombia de la Navidad, las coronas me duran menos de 3 minutos.",joke,2.5,analogy
tweet7019,"-Papá, ¿los hombres van al infierno? -Los solteros al morir, pero los casados lo pagamos por adelantado...",joke,3.4,irony
tweet7020,"23 feliz cumple mes atrasado, the best cuñadaaa",no-joke,,
tweet7021,Desde que no tengo celular me encuentro hablando con gente en la calle o sola en la parada.,no-joke,,
tweet7022,"Me gusta el silencio y el ruido de la lluvia, es algo que me relaja mucho",no-joke,,
tweet7023,"Hoy dormiré con el perfil de mi cuenta completamente en negro, en señal de luto por las cuentas que están cerrando... y por miedo.",no-joke,,
tweet7024,"Cosas que he hecho bien este año:

—Valer madre
—Ver series 
—Compartir memes a lo wey",no-joke,,
tweet7025,La vida me sonríe porque a cualquiera le causaría gracia ver todas las veces que la cago.,joke,1.3333,reference
tweet7026,"""Qué feo tirar indirectas""

-Sí, es feo. Pero entre tirar indirectas en Twitter e ir a su casa con un hacha, prefiero no ir preso.",joke,2.0,reference
tweet7027,Se enseña la mitad de lo q tienes como la luna tiene una cara oscura.,no-joke,,
tweet7028,"Volver a mi casa y separarme de él 
Es lo peor??",no-joke,,
tweet7029,"—Hola guapo, ¿vienes solo?
—No, vengo con mi novia.
—¿Donde está? No la veo.
—La traigo en mi corazón.

TODOS LOS HOMBRES SIEMPRE.",joke,2.0,irony
tweet7030,"No te enamores
No te enamores
No te enamores
No te enamore...
No te enamor...
No te enamo...
No te enam...
Pero es que... mira su sonrisa.",no-joke,,
tweet7031,"#NoHayNadaMasSexyQue: una chica que use converse, a la que le guste el rock, y con la que puedas charlar de música todo el día.",no-joke,,
tweet7032,"Sin tu luna, sin tu sol, sin tu dulce locura",no-joke,,
tweet7033,Alguien hableme estoy aburrida ☹️,no-joke,,
tweet7034,"Una mujer es como una Barbie, puedes vestirlas, desvestirlas,  jugar con ellas. pero recuerda. un verdadero hombre NO JUEGA con Barbies #rRT",no-joke,,
tweet7035,Quien gana las elecciones en USA?  #ElectionDay,no-joke,,
tweet7036,Mañana a las 6:30 am al gym.,no-joke,,
tweet7037,#CopaOroxCanal13  saludos a Julio sepultura guau,no-joke,,
tweet7038,"#Chiste Pepito, ¿de qué te disfrazaras? -De BlackBerry! Para que las niñas me digan BB, me pidan mi pin y me soben la bolita. #chistes RT.",joke,1.2,
tweet7039,2. Todo lleva más tiempo del que usted piensa.,no-joke,,
tweet7040,No podes mirar la serie a todo volumen en el bondi no seas malo,no-joke,,
tweet7041,Ya apáguenme el módem,no-joke,,
tweet7042,"-Amor estoy gorda? -mm a ver rueda para acá, mm rueda para allá... No amor esta bien #xD",joke,2.6,embarrassment
tweet7043,"Antes de decir algo, piensa en cómo te sentirías si alguien te dijera lo mismo.",no-joke,,
tweet7044,—¿Qué somos? —Estudiantes! —¿Qué queremos? —6 meses de vacaciones —¿Y cuándo las queremos? —2 veces al año!,joke,2.736842105263158,parody
tweet7045,Odio cuando estoy enojado con alguien y ese alguien me hace reír.,no-joke,,
tweet7046,La estación de micros es el lugar ideal para leer entre lineas,no-joke,,
tweet7047,"Nada te hara feliz,ni el $,ni tu pareja,ni lujos,ni siquiera tus hijos,si TU no eres feliz contigo mismo.#GretchenCuotes",no-joke,,
tweet7048,¿Y las naranjas buscan a su medio humano?,joke,1.8,
tweet7049,¿En qué se parece un toro vivo a uno muerto? En que el vivo embiste y el muerto en bistec... #fb,joke,1.6,wordplay
tweet7050,"Temperatura: 7,5ºC; Humedad: 83%; Viento: 2,5 km/h Dirección: SSW; Presión: 1002,8 hPa; Lluvia Hoy: 0,0mm",no-joke,,
tweet7051,"- No puedo parar de multiplicar todo.
- Que raro.
- ¿Por?",joke,2.0,wordplay
tweet7052,"-¿Te enojaste? -Siento una voz, no sé de quién es.",joke,1.0,irony
tweet7053,"#chiste Mamá, mamá... ¿donde está la Cordillera de los Andes?
No sé, nene. Acá la que guarda todo es la sirvienta. #chistes RT.",joke,2.6,misunderstanding
tweet7054,Tipico: se te acaba el shampoo y le hechas agua a la botellita.,no-joke,,
tweet7055,@alana0800 por favor comparecer,no-joke,,
tweet7056,Hoy me pidieron un autógrafo y se decepcionaron porque no era el de los vazquez sounds,no-joke,,
tweet7057,"Como siempre, viajando sin batería en el celular... No aprendo más",no-joke,,
tweet7058,Que tengo que hacer para que estés de vuelta conmigo?😞,no-joke,,
tweet7059,"-Ha visto a Thor.-

Chst, chst, tu, el dios del Trueno.",joke,1.0,
tweet7060,Cuando tienes un año con tu novio y descubres cuantas malas costumbres tienen en común lol.,no-joke,,
tweet7061,Preparen el arca!,no-joke,,
tweet7062,"Pisar la patita a un perro sin querer y sentirte la cosa más mala, horrible, y monstruosa del universo :(",no-joke,,
tweet7063,"Cuando todo va mal, te imagino sonriendo y se me pasa. Ese es mi truco. Esa es tu magia.",no-joke,,
tweet7064,Oye qué pasa que los rabos tan bonitos que veo aquí no están en grindr. Digo más: qué pasa que no están aquí conmigo!!!,no-joke,,
tweet7065,"—A veces siento que eres muy seca conmigo.

—mmm ya.",joke,1.25,irony
tweet7066,"Todos sabemos que el Ping Pong no es un deporte, es un muñeco muy guapo y de cartón, que se lava su carita con agua y con jabón.",joke,2.0,
tweet7067,Este calor es de puro terremoto,no-joke,,
tweet7068,No me puedo dormir...🤔,no-joke,,
tweet7069,Hoy en el congreso había un pibito insoportable que ME PEGÓ por esto y muchas cosas más #AbortoLegalYA,no-joke,,
tweet7070,#Soyexatlon cuando solo faltan 5 min para irme a la escuela.,no-joke,,
tweet7071,Felicidad es comer y no engordar :3,no-joke,,
tweet7072,#chiste donde compra Goku su ropa? / en SayaJean #chistes RT,no-joke,,
tweet7073,Porque Recién me entero que viene ozuna en marzo,no-joke,,
tweet7074,Vámonos todos dicen que hay una pelea de hormigas en la otra cuadra,joke,2.6667,
tweet7075,Ya quiero que se les termine el dinero a los de @pxndxmusic para que hagan su gira del reencuentro.,no-joke,,
tweet7076,"¿Cuál será el marcador de la final de la copa, si es Brasil x Alemania? #videntedohexa",no-joke,,
tweet7077,#TraumasDeLaInfancia cuando te dejaban arriba en el sube y baja.,no-joke,,
tweet7078,"El doctor me dijo que ya no comiera en la calle así que pedí mi orden de tacos para llevar. 

Chécate, mídete, muévete.",joke,2.3333,
tweet7079,"Niñas de 11 años que ponen en facebook: “Quiero despertar y verte a mi lado“ Tranquilas, tus barbies no se mueven.",joke,2.0,
tweet7080,"Escribir las letras de una canción es difícil, a veces te quedas sin ideas y palabras",no-joke,,
tweet7081,Estuve a punto de perder la poca dignidad que me queda.,no-joke,,
tweet7082,"@MyLifeIsApii_  soy fan te amo
Chau bb",no-joke,,
tweet7083,Un aplauso para esas personas que te sacan una gran sonrisa sincera en esos momentos de tristeza infinita.,no-joke,,
tweet7084,"«Ahora dice que no me conoce no no no»

—Los familiares de un paciente con Alzheimer hablando con el neurólogo.",joke,2.0,
tweet7085,"Y dijo el karma: Amarás a quien no te ama, por no haber amado a quien te amó.",no-joke,,
tweet7086,#MPcontraLaCorrupción federacion nacional de tiro que la siguiente sea la federacion nacional de ANDINISMO,no-joke,,
tweet7087,"Me gustaría ir a comprar helado con Leuco,
Al Freddo",no-joke,,
tweet7088,Recordar y sonreír.,no-joke,,
tweet7089,"""Trabajo en torno a la descripción y me desentiendo de todo intento que haga el soñante para desprenderse de él.""  #Psicología",no-joke,,
tweet7090,Cuidado y las fallas en el metro se deben a una forma de protesta de parte de los trabajadores. Qué casualidad que surgen en horas pico.,no-joke,,
tweet7091,algo pasa aca,no-joke,,
tweet7092,"- ¿Que tal? ¿Nervioso?
- Si, un poco…
- ¿Es tu primera vez?
- No, ya había estado nervioso antes… #chistes",joke,2.6,
tweet7093,"Escuchando ""Oldies""de los 70,80,90 y 2000...VIVA EL TECHNO! Long live to the DANCE!! *Forever New Wave*!!!!",no-joke,,
tweet7094,"Odio felicitar a familiares por teléfono. Es como: 
-¡Felicidades! 
-Gracias. 
-¿Qué tal? 
-Bien jaja espera que te paso a mi madre.",joke,1.5,
tweet7095,"Maaaaaaaalaga, Maaaaaaaaalaga!!! Hoy soy un boquerón disfrazado.",no-joke,,
tweet7096,Típico: estar de vacaciones y no saber en que día vamos.,joke,1.6667,
tweet7097,Ellos son la presa y nosotros los cazadores.,no-joke,,
tweet7098,"-Señora, perdimos a su hijo en la operación –Nooo, ¡no puede ser! -JAJAJA no sea llorona, ya lo encontramos, estaba en el baño",joke,3.6,misunderstanding
tweet7099,"Acto1: Muere 1
Espermatozoide
-Acto2: Mueren 100
Espermatozoides
-Acto3: Mueres 10000
Espermatozoides
-COMO SE LLAMO LA
OBRA
R:SEMEN-TERIO",joke,1.6,
tweet7100,La ignorancia en mi madre sobre un tema taaan normal es woow 🤦🏾‍♀️,no-joke,,
tweet7101,La seguimos haciendo bien o no?,no-joke,,
tweet7102,"Efímero cuando por las noches muero, recordando",no-joke,,
tweet7103,"Luisina, juname, eres ultimate.",no-joke,,
tweet7104,Quien va el 4 de marzo al concierto de @OficialGuaco  en el CCCT.,no-joke,,
tweet7105,AL FIN VIERNESSS... #RT SI ERES UNO DE LOS QUE QUIERE EL VIERNES DESDE EL LUNES #JAJAJA,no-joke,,
tweet7106,Ese momento cuando te encuentras a tu ex en el gym y te preguntas: ¿Por qué chingados está haciendo cardio si no tiene corazón?,joke,2.75,
tweet7107,"Elisa para todo hace bastante ruido!! 😒Caminar,comer,maquillarse,etc etcc",no-joke,,
tweet7108,Viendo el concepto que tenéis algunas personas de amistad prefiero caeros mal muack,no-joke,,
tweet7109,@NoticiasRCN REGALADOS PERIODISTAS DR QUINTA.,no-joke,,
tweet7110,"Espero que Lewandoski se ponga la capa en esta semana de champion, tenia a CR7 y lo quite x él.",no-joke,,
tweet7111,Indignada,no-joke,,
tweet7112,"Increíble lo mucho que me identifico con el poeta Balvin, J",no-joke,,
tweet7113,y cumpla con lo que me dijo ahre,no-joke,,
tweet7114,Son novios? -Sí -Y PQ no se publican cosas lindas en facebook? -PQ las relaciones son de a 2 y no es necesario que lo sepa todo el mundo.,no-joke,,
tweet7115,"-Está tu hermana? Soy Pepe, su novio -No, está en la cama -¿En brazos de Morfeo? -Bueno, el nombre del tío no lo sé! #fb",joke,2.0,misunderstanding
tweet7116,Esa carita tan bonita y esa actitud de la verguita,no-joke,,
tweet7117,El mundo esta lleno de pelotudos distribuidos estratégicamente para qué siempre te encuentres alguno.,joke,2.3333,exaggeration
tweet7118,Dos chinitos: -Compadle me complé un coche -¿Y qué coche se compló? -Un Alfa... -¿Lomeo? -Lomeas y te palto tu madle! #fb,joke,2.2,
tweet7119,"¿Esos que dicen “es depende”, lo hacen a propósito o es depende la situación?",no-joke,,
tweet7120,No sé ustedes pero yo nunca he conocido una mujer gorda que hable bien de los hombres.,no-joke,,
tweet7121,De haber sabido que me iba a tener que levantar tan temprano me ahorcaba con el cordón umbilical.,joke,1.75,
tweet7122,KEEEEEE MESSI FALLO UN PENAL ESTE PARTIDO NO LO GANA NADIE,no-joke,,
tweet7123,Cargo un humor del orto.,no-joke,,
tweet7124,"Tenía las malas intenciones de robarte tu bolso y fuiste mas inteligente que yo, me robaste el celular.",no-joke,,
tweet7125,"Gente, sale 0 pesos ponerse en el lugar del otro. Digo, no sé.",no-joke,,
tweet7126,Dora la Exploradora tiene 7 años y tiene mucha más libertad que todos nosotros.,no-joke,,
tweet7127,Dejen de decir que la chica que sabe de fútbol y juega videojuegos es la ideal. Entonces el tipo ideal se pinta las uñas y estudia modas.,no-joke,,
tweet7128,"- Mamá, Mamá, en el colegio me llaman Facebook
- ¿Y tú qué dices?
- ¡Me gusta!
#Chistes #Humor #Anecdotas #Faceb...",joke,2.6,
tweet7129,"Te quiero pero como amigos - ¿Como que comes amigos? -No, yo me refer... -Los amigos no se comen -Pero... -Chau caníbal",joke,2.25,misunderstanding
tweet7130,"—Jóvenes ¿Alguna pregunta?.
—Sí, ¿En qué idioma pensará un sordo?.
—Sobre la clase.
—Ah, no.",joke,2.2,
tweet7131,Quemaduras en el codo y piernasssss. Jajajajaj estupido y sensual entrenamiento de voleyyyyy,no-joke,,
tweet7132,"Cuando apuntas con el dedo, recuerda que tres dedos te señalan a ti 
#chistes #humor",no-joke,,
tweet7133,"#9DeCada10 personas dicen ""no me gusta"" cuando ni siquiera probaron",no-joke,,
tweet7134,Si se da.. somos todos!!,no-joke,,
tweet7135,Pa estos wachines que andan pidiendo anda a pedir a otro lado pobre de mierda,no-joke,,
tweet7136,"Desayunando el recalentado de tu indiferencia, en el plato desechable de tu olvido, acompañado del ponche de tu desprecio.",no-joke,,
tweet7137,"Tener dos novias
COSAS DE NOVIOS",no-joke,,
tweet7138,415 kcal en 30 min #ganandocomosiempre,no-joke,,
tweet7139,Cuesta un huevo levantarse,no-joke,,
tweet7140,"- Cariño ¿tengo la nariz grande?
- No, tienes una nariz común.
- ¿Ah, sí?
- Sí, ¡común tucán!",joke,2.117647058823529,wordplay
tweet7141,Me cagooo y no carga esta weeeeebsss.,no-joke,,
tweet7142,"Cuelga tú primero.
-No cuelga tú.
-No, tú.
-Ay no, cuelga tú, dale
AMÁRRENSE UNA SOGA AL CUELLO Y CUÉLGUENSE LOS DOS #chistes",joke,1.5,
tweet7143,Yo Pongo Las Reglas ?,no-joke,,
tweet7144,Trabajar en el bar ya afectó mucho mi reloj biológico son 3:49 Am y llevo una pinche hora tratando de dormir. :(,no-joke,,
tweet7145,"-¡Papá, papá, hoy me levanté con ganas de estudiar! 
-Muy bien, ¿Y qué vas a hacer? 
-Voy a volver para cama a ver si se me pasa
#chiste",joke,1.6,irony
tweet7146,"DESCRIBIR: De lo que te cansas en la escuela.

 D-ESCRIBIR",joke,1.2,
tweet7147,Me acaban de rtw un tw del 2015 q miedo,no-joke,,
tweet7148,"Mi cuerpo quiere dormir, pero mi cerebro está lleno de ideas.",no-joke,,
tweet7149,"@IgnatiusFarray soy català e independentista,  y el que no pueda reirse con la secció de hoy es monguer. #comedyislikeabigblackfurgoneta",no-joke,,
tweet7150,Twitter es una playa nudista para cerebros.,joke,3.0,analogy
tweet7151,Twitter debería preguntar al crear tu cuenta: ¿Estas seguro que quieres dejar tu vida social y comenzar a querer desconocidos?,joke,2.0,exaggeration
tweet7152,"#OjalaPagaranPor las veces que decimos ''Este año si me pongo las pilas en el estudio"". Todos seriamos millonarios.",joke,1.2,reference
tweet7153,"-¿Cómo pasó el finde, sr?
-Rápido.",joke,1.2,misunderstanding
tweet7154,"—Buenos días, princesa. ¿Te puedo decir princesa, verdad? 
—No. 
—Ok. Buenos días, profe ¿me deja pasar? 😆😆😆",joke,1.7142857142857142,
tweet7155,Mi corazón vacío no soportatá una ausencia más.,no-joke,,
tweet7156,—¿Quieres ser mi novia o qué onda? —Qué onda.,joke,2.2,embarrassment
tweet7157,"- Cervantes es el mejor escritor que jamás he leído.
- ¿Ah sí?. ¿Y cuál de sus libros te gusta más?
- Que jamás h...",joke,2.5,misunderstanding
tweet7158,Hoy a las 06:00 PM finalizaron mis vacaciones.,no-joke,,
tweet7159,Hachoo,no-joke,,
tweet7160,"Mujeres que siempre traen una cuchara en su bolsa y dicen que es para sus pestañas, a mi no me engañan, es por si se les atraviesa un pozole",joke,1.75,
tweet7161,"Es más fácil habitar Venus (con sus 400°C de temperatura, ríos de metal fundido, presión inmensa) que soportar más de 30 minutos en Facebook",joke,1.25,
tweet7162,Estas viendo que traigo una playera de Dragon Ball con Vegeta coloreado con diamantina y todavía preguntas si soy virgen.,joke,1.6667,reference
tweet7163,"Cómo tomar una decisión difícil de dos maneras inteligentes: 

—De tín marín de do pin güe.

—Chingue su madre, que sea lo que Dios quiera.",joke,2.6667,
tweet7164,El pato le dice al sillón : que suerte usted tiene 4 patas...#chistes,joke,2.25,
tweet7165,"Fui al refrigerador a buscar el Helado que guarde ayer y recordé que me lo comí anoche. Ya ni en uno mismo se puede confiar, vale madre. 😭",no-joke,,
tweet7166,El infierno está lleno de gente que opina cuando estás haciendo el asado.,joke,2.25,
tweet7167,"Me voy a dormir, necesito levantarme temprano para reírme de los que van a laburar el 31.",joke,2.0,
tweet7168,"yo: tengo que estudiar
mi cerebro: 
mi cerebro: por qué no puedo ser del jet set?",no-joke,,
tweet7169,Lo vamos a lograr #ArtistaDelFestivalHaAsh,no-joke,,
tweet7170,"-Papá ¿en qué te fijas primero cuando volteas a ver a una mujer?
-En que tu mamá no me esté mirando!",joke,2.533333333333333,
tweet7171,Lo más cabrón es que tú ve todo como un chiste ✨🙌🏼🎶,no-joke,,
tweet7172,"—Oye, ¿qué haces?
—Viendo Animal Planet.
—¿Qué ves?
—Un documental de perros.
—¿Y de qué trata?
—¡DE UN ELEFANTE QUE QUIERE APRENDER A...",joke,2.5,irony
tweet7173,"Si creó tener una verdad porque miento,  difamo,  insulto y engaño? Será que en realidad esa es la verdad???",no-joke,,
tweet7174,"El mundo va a ser un lugar mejor cuando WhatsApp tenga la opción de estar conectado como ""invisible"" como el gran MSN Messenger.",no-joke,,
tweet7175,"Hola Flamenco, que descanses y tengas una Feliz noche! Te desea el TEAM FLAMENKKO #FLAMENKKO",no-joke,,
tweet7176,"Hola pueden poner GPS de
maluma y FrencHMonTanA por favor 💙
MalumaFamilyNL 
@HitsFM1063",no-joke,,
tweet7177,"Yo era algo así como el pelado que se la pasaba en coordinación, pero era buena persona 🌚.",no-joke,,
tweet7178,Las mujeres mas hermosas llevan una letra ''A'' en su nombre :3,no-joke,,
tweet7179,A veces creo que necesitamos problemas verdaderos para darnos cuenta de que los que nos inventamos son una soberana estupidez.,no-joke,,
tweet7180,Típico: Te gusta una canción y no sabes como se llama.,no-joke,,
tweet7181," ¿Te gusta?  No, ¿por?  Sonreíste al escuchar su nombre.  Como no me voy a reír si se llama Rosa Melano ..",joke,3.2,embarrassment
tweet7182,"—Mamá, en la escuela me dijeron gorda. —No les hagas caso y mejor ya duérmete. MARRANA será otro día. —¡MAMÁAA! —¡Jajajajá!.",joke,1.4,wordplay
tweet7183,"si se le suda la mano, imaginense como sera abajito :v guau",no-joke,,
tweet7184,"—Hijo, ¡Ordena tu cuarto, vienen visitas! 
—AH, NO SABÍA QUE LA REUNIÓN ERA EN MI CUARTO.",joke,2.7,irony
tweet7185,"-¿911, cuál es su emergencia? -¡TWITTER ESTÁ FALLANDO! -¡Dios mio, mantenga la calma vamos en camino, Y POR NINGÚN MOTIVO ENTRE A FACEBOOK.",joke,2.2,exaggeration
tweet7186,6 cosas que odia mi mamá: 1.Que salga. 2.Que no salga. 3.Que coma mucho. 4.Que coma poco. 5.Que duerma mucho. 6.Que duerma poco.,joke,1.7857142857142858,
tweet7187,"#MentirasMásPopulares: Tengo BlackBerry porque me gusta más, no porque no me haya alcanzado para el iPhone.",joke,2.0,
tweet7188,Hay avatares que son la polla...,no-joke,,
tweet7189,Un sentimiento llamado 'Ni ahí'.,no-joke,,
tweet7190,"Mi corazón dice ""sí"", mi mente dice ""no"" y yo digo ""no sé"".",no-joke,,
tweet7191,En el cora messssmo,no-joke,,
tweet7192,Te has ganado un viaje a la MIERDA con todo incluido. ¡FELICIDADES,no-joke,,
tweet7193,Te aseguro que nadie te va querer como yo,no-joke,,
tweet7194,KAROL YA VA A LLEGAR A LOS 6 MILLONES,no-joke,,
tweet7195,"Tres formas de iniciar una pelea con una mujer:

1.- Decirle que si.
2.- Decirle que no.
3.- Quedarse callado.",joke,2.4444444444444446,stereotype
tweet7196,Días tristes y estos,no-joke,,
tweet7197,"Mano, eu amo o tuyter",no-joke,,
tweet7198,bUENO EH AMIGA CALMATE UN TOQUE,no-joke,,
tweet7199,"si gana pr voy a tener que mudarme o empezar a hablar""dominicano"" soy boricua,y vivo en Barrio Obrero #TerritorioDominicano",no-joke,,
tweet7200,"El que se ríe último, no entendió el chiste",joke,1.8,parody
tweet7201,"#YoYMisGanasDe sonreírle, mirarle, abrazarle, besarle, tenerle, sentirle y saber que soy lo mejor que le ha ocurrido.",no-joke,,
tweet7202,Sabes porque los postres siempre van al final de las comidas????Porque son a POSTRE-RIORI  #chistes #malisimo,joke,1.4,wordplay
tweet7203,"Camila y sus canciones ""heterosexuales"" son lo mejor que me paso chau",no-joke,,
tweet7204,"A pesar de todo, siempre hay miles de razones para sonreír.",no-joke,,
tweet7205,bue unas ganas d ahogarme en alcohol tengo chau,no-joke,,
tweet7206,Me molesta la gente que no da la cara. (Anónimo) #fb,joke,2.25,irony
tweet7207,I want mezcal con jugo de piña,no-joke,,
tweet7208,Me quiero tatuar hace año y medio aprox pero soy tan indecisa que al día de hoy sigo decidiendo que hacerme 😅,no-joke,,
tweet7209,"-¡Papá papá, tengo un lío de faldas! -¡Ese en mi hijo, a ver cuéntame! -¡No se si ponerme la falda azul o la rosa! by @asosach #fb",joke,2.1538461538461537,
tweet7210,¿Qué haces cuando el mando de la tele no funciona?: 1%: Cambiar las pilas. 99%: Apretar los botones más fuerte y luego darle golpes.,joke,2.0,
tweet7211,"-¿Cuál es el colmo de un ladrón?
-Llamarse Esteban Dido.",joke,2.571428571428572,
tweet7212,"-¿Cumples años hoy? -No, ¿tu? -¡Tampoco! -¡WOOOOW! ¡Tenemos tanto en común! ¿Quieres ser mi novia?.",joke,1.75,exaggeration
tweet7213,"—Bebé, no hay nadie en mi casa.
—Voy para allá... Hermosa, ya llegué, ábreme.
—Si que eres pendejo, ¡te dije que no había nadie en mi casa!",joke,2.4285714285714284,
tweet7214,"—Oye, ¿tu crees en los alienígenas?
—Claro wey.
—¿En los unicornios?
—Pues Ahuevo.
—¿Y en el amor?
—JAJAJÁ no mames, esa madre no existe.",joke,2.2,analogy
tweet7215,"Feliz cumpleaños @CrispyXtreme pasarela increíble jugóson

Que cumplas muchos más",no-joke,,
tweet7216,"Todo lo que me gusta engorda, es caro o no me habla.",joke,2.0,
tweet7217,"Besar a una mujer en la frente es cariño, en el cachete es respeto, en los labios es amor, enfrente de su novio son huevos.",joke,2.75,analogy
tweet7218,¿Que ella te hable primero? ¿Qué sigue? ¿Que ella te abra la puerta del coche?,no-joke,,
tweet7219,Pero si quiero a alguien,no-joke,,
tweet7220,Regresé 😏,no-joke,,
tweet7221,"Ya casi somos +13.000 seguidores!!, terminemos este fin de semana con buenos chistes! :D",no-joke,,
tweet7222,"No confundan: ""Halla"" con ""Haya"", ""Vaya"" con ""Valla"", ""Ahí"" con ""Hay"", ni mucho menos: ""Te amo"" con ""Yo también"".",no-joke,,
tweet7223,¿Por que la gente sube sus notas a las redes sociales?,no-joke,,
tweet7224,"No sé por que, pero siempre los años pares son más intensos, en varios sentidos 🤔",no-joke,,
tweet7225,A la nueva secretaria: En esta empresa somos como una familia. No le extrañe q a veces le pida q haga el papel de mi esposa #fb,joke,2.5,unmasking
tweet7226,Escuchar a Mercury me anima feo.,no-joke,,
tweet7227,Tengo que poner tu nombre para que te des cuenta que los tw son para vos??????!?!???!?,no-joke,,
tweet7228,"Mi perro no es mi mascota, es mi familia.",no-joke,,
tweet7229,"Yo no dormí nada por hablar con cierta personita, siéntete mejor Yuly.",no-joke,,
tweet7230,Em no porque mi familia es jurio,no-joke,,
tweet7231,Ledezma es el gran imbécil q dice saber q por Venezuela sale 60% d la droga q llega a Europa. Como puede ser si de colombia sale el 92%...,no-joke,,
tweet7232,#TodoValioMadreCuando las mamás de los Reggaetoneros decidieron no abortar.,joke,2.0,
tweet7233,Quiero q este todo bien entre nosotras,no-joke,,
tweet7234,"A veces, tal vez, estar sólo, es mejor.",no-joke,,
